id,subarea,objective,question,answer,explanation,difficulty,tags
F320,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Synecdoche?,Using a part to represent the whole,"Synecdoche uses a part to represent the whole or vice versa. Example: 'All hands on deck' (hands = sailors). Creates compact, vivid language.",2,"{""figurative"",""synecdoche"",""substitution""}"
F321,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Metonymy?,Substituting an associated word for the thing itself,"Metonymy replaces something with a word closely associated with it. Example: 'The crown' for monarchy, 'The White House' for the President. Creates efficient reference.",2,"{""figurative"",""metonymy"",""substitution""}"
F322,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Irony?,Contrast between expectation and reality,"Irony occurs when there's a discrepancy between appearance and reality, expectation and outcome. Types include verbal, situational, and dramatic irony. Creates layers of meaning.",2,"{""rhetoric"",""irony"",""contrast""}"
F323,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Juxtaposition?,Placing two elements side by side to emphasize contrast,Juxtaposition places contrasting elements near each other to highlight differences. Example: placing love and hate scenes adjacent. Emphasizes through contrast.,2,"{""rhetoric"",""juxtaposition"",""contrast""}"
F324,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Tone?,Author's attitude toward the subject or audience,"Tone reflects the author's attitude, revealed through word choice, sentence structure, and details. Examples: formal, informal, ironic, optimistic. Shapes reader's response.",1,"{""craft"",""tone"",""style""}"
F325,Genre & Craft,Rhetorical Devices and Craft Techniques,What is Diction?,Writer's choice of words to create tone and meaning,"Diction refers to word choice and vocabulary level. It can be formal, informal, colloquial, or technical. Diction directly shapes tone, mood, and clarity.",1,"{""craft"",""diction"",""style""}"
F101,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Second Language Acquisition (SLA)?,The process by which individuals learn a language other than their native one,"Second Language Acquisition (SLA) refers to the systematic process through which people learn a language beyond their first/native language. It involves cognitive, social, and educational factors.",2,"{""SLA"",""language"",""acquisition""}"
F102,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is the Input Hypothesis?,Krashen's idea that learners acquire language best when exposed to comprehensible input slightly above their current level (i+1),Stephen Krashen's Input Hypothesis suggests learners progress by receiving 'comprehensible input' that is just beyond their current competence level (i+1). This challenges them without overwhelming them.,3,"{""Krashen"",""input"",""hypothesis"",""SLA""}"
F103,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is the Affective Filter?,Krashen's concept that anxiety or low motivation can block language input from being acquired,"The Affective Filter is a metaphorical barrier: when learners are anxious, unmotivated, or lack confidence, they cannot process language input effectively. Lowering this filter enhances acquisition.",2,"{""Krashen"",""affective filter"",""motivation"",""anxiety""}"
F104,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is the Natural Order Hypothesis?,"Language structures are learned in a predictable sequence, not necessarily through formal instruction","This hypothesis states that grammatical structures are acquired in a natural, predictable order regardless of explicit teaching. Learners follow similar developmental sequences.",2,"{""natural order"",""grammar"",""acquisition"",""Krashen""}"
F105,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Communicative Competence?,"The ability to use language appropriately in social contexts, not just knowing grammar","Communicative Competence goes beyond grammatical knowledge to include sociolinguistic, discourse, and strategic competence—knowing when, how, and why to use language in real situations.",2,"{""communicative competence"",""pragmatics"",""social language""}"
F106,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Scaffolding in language learning?,Temporary instructional support helping students reach higher levels of understanding,"Scaffolding provides structured support (e.g., sentence frames, graphic organizers, modeling) that helps learners perform tasks they couldn't do independently, gradually removing support as competence grows.",1,"{""scaffolding"",""support"",""instruction"",""Vygotsky""}"
F107,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Modeling in language instruction?,Demonstrating correct language use before expecting students to use it independently,"Modeling involves the teacher showing students how to perform a language task (e.g., pronouncing words, structuring sentences) so students have a clear example to follow.",1,"{""modeling"",""demonstration"",""instruction""}"
F108,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Total Physical Response (TPR)?,Teaching method pairing language input with physical movement to aid comprehension,"TPR, developed by James Asher, uses physical actions to reinforce language meaning. For example, students perform actions (stand, sit, jump) as the teacher gives commands, enhancing comprehension through kinesthetic learning.",2,"{""TPR"",""movement"",""comprehension"",""teaching method""}"
F109,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Wait Time in language teaching?,Pausing after asking a question so language learners can process and formulate a response,"Wait Time (typically 3-5 seconds) gives ELLs and all students time to think, translate internally if needed, and construct responses, leading to more thoughtful and accurate answers.",1,"{""wait time"",""questioning"",""ELL"",""strategy""}"
F110,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What are BICS and CALP?,Basic Interpersonal Communication Skills (social) vs. Cognitive Academic Language Proficiency (academic),"BICS refers to everyday conversational language (1-2 years to develop), while CALP is the academic language needed for school success (5-7 years). Teachers must support both.",2,"{""BICS"",""CALP"",""Cummins"",""academic language""}"
F111,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Code-Switching?,Alternating between languages or dialects depending on context or audience,"Code-Switching is a natural linguistic practice where bilingual speakers shift between languages within conversations, often to express identity, clarify meaning, or match social contexts.",2,"{""code-switching"",""bilingualism"",""sociolinguistics""}"
F112,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is Language Transfer?,Influence of a learner's first language on learning a second language,"Language Transfer occurs when features of a learner's native language (phonology, syntax, vocabulary) affect how they produce or understand the target language. It can be positive or negative.",2,"{""transfer"",""L1"",""L2"",""interference""}"
F113,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What are Cognates?,Words in two languages with similar meaning and form,"Cognates are words that share common etymological roots across languages, like 'information' (English) and 'información' (Spanish). They help ELLs make connections and build vocabulary.",1,"{""cognates"",""vocabulary"",""Spanish"",""transfer""}"
F114,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What are False Cognates?,Words that look similar across languages but differ in meaning,False Cognates (or 'false friends') can mislead learners. Example: 'actual' means 'real' in English but 'actualmente' means 'currently' in Spanish. Teachers should explicitly address these.,2,"{""false cognates"",""vocabulary"",""confusion""}"
F115,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is an Affix?,A morpheme attached to a word stem to change meaning or function,Affixes include prefixes (added before the root) and suffixes (added after). They modify word meaning (happy → unhappy) or grammatical function (teach → teacher).,1,"{""affix"",""morphology"",""prefix"",""suffix""}"
F116,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is a Suffix?,An affix added at the end of a root word to change its form or function,"Suffixes modify word class or meaning: '-ness' creates nouns (happiness), '-ed' indicates past tense (walked). Understanding suffixes aids decoding and vocabulary growth.",1,"{""suffix"",""morphology"",""word formation""}"
F117,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is a Noun Suffix?,Turns verbs or adjectives into nouns,"Common noun suffixes include -ness (kindness), -tion (action), -ment (development). They allow students to derive meanings and expand vocabulary from known roots.",1,"{""noun suffix"",""morphology"",""word class""}"
F118,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is a Verb Suffix?,Turns nouns or adjectives into verbs,"Verb suffixes like -ize (modernize), -en (strengthen), -ify (clarify) create verbs from other parts of speech, helping students understand word relationships.",1,"{""verb suffix"",""morphology"",""word formation""}"
F119,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is an Adjectival Suffix?,Creates adjectives from nouns or verbs,"Adjectival suffixes include -ful (beautiful), -ous (dangerous), -able (readable). They enable students to describe and modify nouns, enriching expression.",1,"{""adjectival suffix"",""adjective"",""morphology""}"
F120,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is a Derivational Morpheme?,Morpheme that changes a word's part of speech or meaning,Derivational morphemes create new words: 'happy' (adjective) + '-ness' = 'happiness' (noun). They alter core meaning or grammatical category.,2,"{""derivational"",""morpheme"",""word class"",""morphology""}"
F121,Meaning & Communication,"Language Development, Second Language Acquisition, and Word Formation",What is an Inflectional Morpheme?,Morpheme that indicates grammatical change without altering meaning,"Inflectional morphemes signal tense (-ed), number (-s), or comparison (-er, -est) without changing word class: 'walk' vs. 'walked' are both verbs.",2,"{""inflectional"",""morpheme"",""grammar"",""morphology""}"
