id,subarea,objective,stem,options,correct_index,rationales,difficulty,assessment
Q137,Literature & Understanding,Literary Elements and Devices,A third-person limited narrator…,"{""Knows all characters' thoughts"",""Only knows one character's perspective"",""Uses 'you' to address the reader"",""Is part of the story's action""}",1,"{""Knowing all characters' thoughts describes third-person omniscient."",""Correct! Third-person limited provides insight into one character's mind while maintaining narrative distance."",""Using 'you' describes second-person point of view."",""Being part of the action describes first-person narration.""}",2,True
Q138,Literature & Understanding,Literary Elements and Devices,Conflict in a story is…,"{""The climax"",""The struggle between opposing forces"",""The exposition"",""The resolution""}",1,"{""The climax is the turning point, not the conflict itself."",""Correct! Conflict is the central struggle driving the plot, whether internal or external."",""Exposition provides background information."",""Resolution shows how the conflict is settled.""}",2,True
Q139,Literature & Understanding,Literary Elements and Devices,Theme is best described as…,"{""The moral lesson or universal truth of the story"",""The plot's main event"",""The story's timeline"",""The setting's location""}",0,"{""Correct! Theme is the underlying message or insight about life that the work explores."",""The main event is part of plot, not theme."",""Timeline relates to plot structure."",""Location is an element of setting, not theme.""}",2,True
Q140,Genre & Craft,Writing Techniques,Diction refers to…,"{""Sentence structure"",""Word choice"",""Figurative meaning"",""Dialogue pacing""}",1,"{""Sentence structure is syntax, not diction."",""Correct! Diction is the writer's selection and use of specific words to create meaning and tone."",""Figurative meaning involves literary devices like metaphor."",""Dialogue pacing relates to narrative structure.""}",2,True
Q141,Genre & Craft,Writing Techniques,Which sentence best shows imagery?,"{""He walked slowly."",""The sunlight spilled like honey across the table."",""She moved quickly."",""It was late.""}",1,"{""This is simple description without sensory detail."",""Correct! This creates vivid sensory experience through visual and metaphorical language."",""This states action without engaging the senses."",""This provides information without sensory detail.""}",2,True
Q142,Genre & Craft,Writing Techniques,An author's voice reflects…,"{""The plot's complexity"",""The writer's individual style and tone"",""The story's setting"",""The genre of the work""}",1,"{""Plot complexity is a structural choice, not voice."",""Correct! Voice is the distinctive personality and perspective that comes through the author's stylistic choices."",""Setting is a story element, not voice."",""Genre is a category; voice is individual to the writer.""}",2,True
Q143,Genre & Craft,Writing Techniques,Syntax primarily affects…,"{""Sentence rhythm and emphasis"",""Theme development"",""Characterization"",""Symbolism""}",0,"{""Correct! Syntax—the arrangement of words and phrases—shapes how sentences flow and what gets emphasized."",""Theme emerges from content and meaning, not sentence structure."",""Characterization involves personality development, not syntax."",""Symbolism uses objects for meaning, unrelated to syntax.""}",3,True
Q144,Genre & Craft,Writing Techniques,Tone in writing reveals…,"{""The author's attitude"",""The story's location"",""The text's theme"",""The rhythm of language""}",0,"{""Correct! Tone conveys the author's attitude toward the subject and audience through stylistic choices."",""Location is setting, not tone."",""Theme is the underlying message; tone is how it's expressed."",""Rhythm relates to syntax and sound patterns.""}",2,True
Q145,Literature & Understanding,Literary Analysis,Which best defines theme?,"{""Setting of the story"",""Sequence of events"",""Central message or universal idea"",""Character's motivation""}",2,"{""Setting provides the time and place, not the theme."",""Sequence of events describes plot, not theme."",""Correct! Theme is the underlying message or universal truth explored in the work."",""Motivation drives character actions but isn't the theme.""}",2,True
Q146,Literature & Understanding,Literary Analysis,Characterization is developed through…,"{""Dialogue, actions, and description"",""Setting only"",""Sentence structure"",""Theme repetition""}",0,"{""Correct! Authors reveal character through what characters say, do, think, and how they're described."",""Setting provides context but doesn't develop character."",""Sentence structure affects style, not characterization."",""Theme repetition reinforces meaning, not character development.""}",2,True
Q147,Literature & Understanding,Literary Analysis,Which is a recurring symbol or image that reinforces meaning?,"{""Motif"",""Plot"",""Tone"",""Foreshadowing""}",0,"{""Correct! A motif is a repeated element that develops and reinforces the theme."",""Plot is the sequence of events, not a recurring symbol."",""Tone is the author's attitude, not a recurring element."",""Foreshadowing hints at future events but isn't necessarily recurring.""}",2,True
Q148,Literature & Understanding,Literary Analysis,Tone reveals the author's…,"{""Mood"",""Attitude"",""Characterization"",""Diction""}",1,"{""Mood is the emotional atmosphere for readers, not the author's attitude."",""Correct! Tone expresses the author's attitude toward the subject and audience."",""Characterization develops characters, not tone."",""Diction (word choice) creates tone but isn't what tone reveals.""}",2,True
Q149,Literature & Understanding,Literary Analysis,Mood affects the…,"{""Reader's emotions"",""Author's perspective"",""Character's motivation"",""Sentence rhythm""}",0,"{""Correct! Mood creates the emotional atmosphere that influences how readers feel."",""Author's perspective relates to tone, not mood."",""Character motivation drives plot, not mood."",""Rhythm is a stylistic element, distinct from mood.""}",2,True
Q150,Literature & Understanding,Literary Analysis,Imagery appeals to…,"{""Grammar rules"",""The five senses"",""Symbolism"",""Syntax""}",1,"{""Grammar provides structure, not sensory experience."",""Correct! Imagery uses descriptive language that engages sight, sound, touch, taste, and smell."",""Symbolism uses objects for meaning; imagery creates sensory experience."",""Syntax is sentence structure, not sensory description.""}",2,True
Q151,Literature & Understanding,Literary Analysis,An allegory contains…,"{""Only figurative language"",""Both literal and symbolic meanings"",""One simple theme"",""Historical facts only""}",1,"{""Allegory uses multiple literary devices, not just figurative language."",""Correct! Allegory works on two levels: the surface story and its deeper symbolic meaning."",""Allegories often explore complex, multi-layered themes."",""While some allegories reference history, they're primarily symbolic narratives.""}",3,True
Q152,Literature & Understanding,Literary Analysis,Foreshadowing helps to…,"{""Create suspense and anticipation"",""Summarize past events"",""Reveal the moral"",""Confuse readers intentionally""}",0,"{""Correct! Foreshadowing plants clues that build anticipation for future events."",""Summarizing past events is exposition or flashback, not foreshadowing."",""Revealing morals is the function of theme or resolution."",""Good foreshadowing enhances understanding, not confusion.""}",2,True
Q153,Literature & Understanding,Literary Analysis,Conflict in literature functions to…,"{""Stall character development"",""Create action and reveal growth"",""Describe setting"",""Provide exposition""}",1,"{""Conflict drives development, not stalls it."",""Correct! Conflict generates plot tension and forces characters to change and grow."",""Setting description is separate from conflict's function."",""Exposition provides background; conflict creates tension.""}",2,True
Q154,Literature & Understanding,Literary Analysis,Diction influences…,"{""The story's rhyme"",""Tone and meaning"",""Theme repetition"",""Sentence count""}",1,"{""Rhyme relates to sound patterns in poetry, not diction's primary function."",""Correct! Word choice (diction) shapes both the tone and the precise meaning of the text."",""Motif creates repetition, not diction itself."",""Sentence count is unrelated to word choice.""}",2,True
Q155,Literature & Understanding,Literary Analysis,Which is an example of verbal irony?,"{""The opposite of what's said is meant"",""A surprise ending"",""Repetition of vowel sounds"",""A symbol representing an idea""}",0,"{""Correct! Verbal irony occurs when someone says the opposite of what they actually mean (like sarcasm)."",""A surprise ending may involve situational irony, not verbal."",""Repetition of vowel sounds is assonance, a sound device."",""This describes symbolism, not irony.""}",2,True
Q156,Literature & Understanding,Literary Analysis,Symbolism helps readers…,"{""Understand literal events only"",""Find deeper meaning in concrete details"",""Track dialogue"",""Identify tone shifts""}",1,"{""Symbolism adds layers beyond literal meaning."",""Correct! Symbols use concrete objects to represent abstract ideas and deeper themes."",""Dialogue tracking is a separate reading skill."",""Tone shifts are identified through diction and style changes.""}",2,True
Q157,Literature & Understanding,Literary Analysis,Plot is best defined as…,"{""The message of the story"",""The sequence of related events"",""The setting's location"",""The author's word choice""}",1,"{""The message is theme, not plot."",""Correct! Plot is the connected series of events that make up the narrative."",""Location is an element of setting."",""Word choice is diction.""}",2,True
Q158,Literature & Understanding,Literary Analysis,The climax of a story is…,"{""The turning point or moment of greatest tension"",""The introduction"",""The falling action"",""The resolution""}",0,"{""Correct! The climax is the story's peak moment where the main conflict reaches its highest intensity."",""The introduction is the exposition, beginning the story."",""Falling action follows the climax, leading to resolution."",""Resolution concludes the story after the climax.""}",2,True
Q159,Skills & Processes,Teaching and Assessment,Which is an example of formative assessment?,"{""Final exam"",""Weekly quiz"",""Report card grade"",""Standardized test""}",1,"{""Final exams are summative, measuring achievement at the end."",""Correct! Weekly quizzes provide ongoing feedback to guide instruction during the learning process."",""Report cards are summative evaluations."",""Standardized tests are summative measures of overall achievement.""}",2,True
Q160,Skills & Processes,Teaching and Assessment,Scaffolding helps students by…,"{""Increasing independent learning through gradual support removal"",""Assigning more homework"",""Memorizing vocabulary lists"",""Focusing on spelling drills only""}",0,"{""Correct! Scaffolding provides temporary support that's gradually withdrawn as students gain competence."",""More homework doesn't necessarily provide structured support."",""Memorization is one strategy, not scaffolding."",""Spelling drills are specific practice, not the scaffolding concept.""}",2,True
Q161,Skills & Processes,Teaching and Assessment,A rubric ensures…,"{""Subjective grading"",""Consistent and transparent evaluation"",""Faster essay grading only"",""Less teacher involvement""}",1,"{""Rubrics reduce subjectivity by providing clear criteria."",""Correct! Rubrics define expectations and standards, ensuring fair and consistent assessment."",""While rubrics may speed grading, their main purpose is consistency and clarity."",""Rubrics require thoughtful teacher design and application.""}",2,True
Q162,Skills & Processes,Teaching and Assessment,Fluency in reading includes…,"{""Memorizing text"",""Reading with accuracy, speed, and expression"",""Quiet reading only"",""Summarizing content""}",1,"{""Fluency involves decoding, not memorization."",""Correct! Fluent readers demonstrate accuracy, appropriate rate, and prosody (expression)."",""Fluency applies to both oral and silent reading."",""Summarizing demonstrates comprehension, not fluency.""}",2,True
Q163,Skills & Processes,Teaching and Assessment,Which stage comes first in the writing process?,"{""Revising"",""Editing"",""Prewriting"",""Publishing""}",2,"{""Revising comes after drafting."",""Editing comes near the end of the process."",""Correct! Prewriting includes brainstorming, planning, and organizing ideas before drafting."",""Publishing is the final stage.""}",2,True
Q164,Skills & Processes,Teaching and Assessment,Metacognition involves…,"{""Word memorization"",""Monitoring one's own understanding and strategy use"",""Copying notes"",""Listening silently""}",1,"{""Memorization is a learning strategy, not metacognition."",""Correct! Metacognition is awareness and regulation of one's own thinking processes."",""Copying is a mechanical task without reflective thinking."",""Passive listening doesn't involve metacognitive awareness.""}",3,True
Q165,Skills & Processes,Teaching and Assessment,The goal of peer review is to…,"{""Grade peers"",""Provide constructive feedback to improve writing"",""Eliminate grammar errors only"",""Replace teacher feedback""}",1,"{""Peers provide feedback, not grades."",""Correct! Peer review helps writers improve through constructive, specific feedback from classmates."",""While grammar matters, peer review addresses all aspects of writing."",""Peer review complements, not replaces, teacher feedback.""}",2,True
Q166,Skills & Processes,Teaching and Assessment,Differentiated instruction means…,"{""Teaching everyone the same way"",""Tailoring lessons to individual learning needs"",""Assigning extra credit"",""Reducing standards""}",1,"{""Differentiation involves varying instruction, not uniformity."",""Correct! Differentiated instruction adjusts teaching to meet diverse student needs, interests, and readiness levels."",""Extra credit is one strategy but doesn't define differentiation."",""Differentiation maintains high standards while varying approaches.""}",2,True
Q167,Skills & Processes,Teaching and Assessment,Summative assessments are used to…,"{""Adjust ongoing teaching"",""Provide mid-unit feedback"",""Evaluate overall achievement at the end of instruction"",""Record attendance""}",2,"{""Adjusting ongoing teaching is the purpose of formative assessment."",""Mid-unit feedback is formative, not summative."",""Correct! Summative assessments measure learning outcomes after instruction concludes."",""Attendance tracking is administrative, not assessment.""}",2,True
Q168,Skills & Processes,Teaching and Assessment,Reading conferences help teachers…,"{""Punish late readers"",""Discuss comprehension and growth individually"",""Avoid grading"",""Assign more work""}",1,"{""Conferences support learning, not punishment."",""Correct! Reading conferences provide individualized assessment and goal-setting opportunities."",""Conferences are a form of authentic assessment, not avoidance."",""While teachers may assign work, the purpose is individualized support.""}",2,True
Q301,Genre & Craft,Rhetorical Devices and Craft Techniques,Which device repeats initial consonant sounds?,"{""Assonance"",""Alliteration"",""Consonance"",""Parallelism""}",1,"{""Assonance repeats vowel sounds, not initial consonants."",""Correct! Alliteration is the repetition of initial consonant sounds in neighboring words."",""Consonance repeats consonant sounds at the end or middle of words."",""Parallelism refers to similar grammatical structures, not sound repetition.""}",1,False
Q302,Genre & Craft,Rhetorical Devices and Craft Techniques,The phrase 'The rain in Spain falls mainly on the plain' illustrates:,"{""Anaphora"",""Assonance"",""Metaphor"",""Juxtaposition""}",1,"{""Anaphora repeats words at the beginning of clauses, not vowel sounds."",""Correct! Assonance is the repetition of vowel sounds ('ai' sound) within words."",""This is not a metaphor; there's no comparison being made."",""Juxtaposition places contrasting elements side by side, which isn't present here.""}",1,False
Q303,Genre & Craft,Rhetorical Devices and Craft Techniques,Repetition of consonant sounds at the ends of words is called:,"{""Chiasmus"",""Consonance"",""Alliteration"",""Antithesis""}",1,"{""Chiasmus is inverted parallelism, not sound repetition."",""Correct! Consonance repeats consonant sounds at the end or middle of words."",""Alliteration repeats initial consonant sounds, not ending sounds."",""Antithesis contrasts ideas, not sound patterns.""}",1,False
Q304,Genre & Craft,Rhetorical Devices and Craft Techniques,Which rhetorical device repeats words at the beginning of successive clauses?,"{""Epistrophe"",""Chiasmus"",""Anaphora"",""Antithesis""}",2,"{""Epistrophe repeats words at the end of clauses, not the beginning."",""Chiasmus reverses grammatical structures, not simply repeats."",""Correct! Anaphora repeats words at the beginning of successive clauses."",""Antithesis contrasts ideas rather than repeating words.""}",2,False
Q305,Genre & Craft,Rhetorical Devices and Craft Techniques,Repetition at the end of successive clauses is called:,"{""Anaphora"",""Epistrophe"",""Chiasmus"",""Parallelism""}",1,"{""Anaphora repeats at the beginning, not the end."",""Correct! Epistrophe repeats words at the end of successive clauses."",""Chiasmus reverses structures rather than repeating at the end."",""Parallelism uses similar structures but doesn't specifically repeat at the end.""}",2,False
Q306,Genre & Craft,Rhetorical Devices and Craft Techniques,Which example demonstrates parallel structure?,"{""She likes reading, writing, and jogging."",""She likes reading and to jog."",""She likes to read and jogging."",""She likes reading then jog.""}",0,"{""Correct! All three items use the same grammatical form (gerunds)."",""Mixes gerund (reading) with infinitive (to jog) - not parallel."",""Mixes infinitive (to read) with gerund (jogging) - not parallel."",""Inconsistent verb forms - not parallel structure.""}",2,False
Q307,Genre & Craft,Rhetorical Devices and Craft Techniques,"'It was the best of times, it was the worst of times' illustrates:","{""Chiasmus"",""Antithesis"",""Juxtaposition"",""Litotes""}",1,"{""Chiasmus involves structural reversal, not present here."",""Correct! Antithesis places contrasting ideas (best/worst) in parallel structures."",""While contrasting, this specifically uses parallel structure, making it antithesis."",""Litotes affirms through negation, which isn't shown here.""}",2,False
